2026-04-10 19:21:12 | GET | meus-planos-api/itens
2026-04-10 19:21:14 | OPTIONS | meus-planos-api/itens/6
2026-04-10 19:21:14 | PUT | meus-planos-api/itens/6
2026-04-10 19:21:15 | GET | meus-planos-api/categorias
2026-04-10 19:21:16 | GET | meus-planos-api/categorias
2026-04-10 19:21:16 | GET | meus-planos-api/itens
2026-04-10 19:21:17 | PUT | meus-planos-api/itens/6
2026-04-10 19:21:18 | PUT | meus-planos-api/itens/6
2026-04-10 19:21:18 | PUT | meus-planos-api/itens/6
2026-04-10 19:21:18 | PUT | meus-planos-api/itens/6
2026-04-10 19:21:22 | GET | meus-planos-api/categorias
2026-04-10 19:21:22 | GET | meus-planos-api/itens
2026-04-10 19:21:26 | GET | meus-planos-api/categorias
2026-04-10 19:21:27 | GET | meus-planos-api/itens
rias
2026-04-10 19:21:27 | GET | meus-planos-api/itens
2026-04-10 19:21:50 | GET | meus-planos-api/categorias
2026-04-10 19:22:38 | GET | meus-planos-api/itens
rias
2026-04-10 19:22:38 | GET | meus-planos-api/itens
2026-04-10 19:22:41 | GET | meus-planos-api/categorias
2026-04-10 19:22:41 | GET | meus-planos-api/categorias
2026-04-10 19:22:41 | GET | meus-planos-api/itens
2026-04-10 19:26:38 | GET | meus-planos-api/categorias
2026-04-10 19:26:38 | GET | meus-planos-api/itens
2026-04-10 19:26:38 | GET | meus-planos-api/itens
2026-04-10 19:26:59 | GET | meus-planos-api/categorias
2026-04-10 19:26:59 | GET | meus-planos-api/itens
2026-04-10 19:35:51 | GET | meus-planos-api/categorias
2026-04-10 19:35:51 | GET | meus-planos-api/itens
2026-04-10 19:36:12 | GET | meus-planos-api/categorias
2026-04-10 19:36:12 | GET | meus-planos-api/itens
2026-04-10 19:36:12 | GET | meus-planos-api/categorias
2026-04-10 19:36:12 | GET | meus-planos-api/itens
2026-04-10 19:37:33 | GET | meus-planos-api/categorias
2026-04-10 19:37:47 | GET | meus-planos-api/categorias
