07-04-2026 17:03:53 | GET | cafeteria-api/pedidos
07-04-2026 17:04:23 | GET | cafeteria-api/pedidos
07-04-2026 17:05:19 | GET | cafeteria-api/pedidos
07-04-2026 17:05:19 | GET | cafeteria-api/pedidos
07-04-2026 17:05:25 | POST | cafeteria-api/pedidos
07-04-2026 17:05:25 | GET | cafeteria-api/pedidos
07-04-2026 17:06:09 | GET | cafeteria-api/pedidos
07-04-2026 17:06:17 | POST | cafeteria-api/pedidos
07-04-2026 17:06:17 | GET | cafeteria-api/pedidos
07-04-2026 17:09:42 | GET | cafeteria-api/pedidos
07-04-2026 17:10:23 | GET | cafeteria-api/pedidos
07-04-2026 17:10:27 | GET | cafeteria-api/pedidos
07-04-2026 17:10:54 | GET | cafeteria-api/pedidos
07-04-2026 17:11:03 | GET | cafeteria-api/pedidos
07-04-2026 17:11:07 | OPTIONS | cafeteria-api/pedidos2
07-04-2026 17:11:07 | DELETE | cafeteria-api/pedidos2
07-04-2026 17:11:07 | GET | cafeteria-api/pedidos
07-04-2026 17:12:46 | GET | cafeteria-api/pedidos
07-04-2026 17:12:56 | GET | cafeteria-api/pedidos
07-04-2026 17:13:07 | GET | cafeteria-api/pedidos
07-04-2026 17:13:56 | GET | cafeteria-api/pedidos
07-04-2026 17:14:03 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 17:14:03 | DELETE | cafeteria-api/pedidos/2
07-04-2026 17:14:03 | GET | cafeteria-api/pedidos
07-04-2026 17:14:09 | POST | cafeteria-api/pedidos
07-04-2026 17:14:09 | GET | cafeteria-api/pedidos
07-04-2026 17:15:02 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 17:15:02 | DELETE | cafeteria-api/pedidos/3
07-04-2026 17:15:02 | GET | cafeteria-api/pedidos
07-04-2026 17:15:04 | OPTIONS | cafeteria-api/pedidos/4
07-04-2026 17:15:04 | DELETE | cafeteria-api/pedidos/4
07-04-2026 17:15:04 | GET | cafeteria-api/pedidos
07-04-2026 17:15:06 | OPTIONS | cafeteria-api/pedidos/5
07-04-2026 17:15:06 | DELETE | cafeteria-api/pedidos/5
07-04-2026 17:15:06 | GET | cafeteria-api/pedidos
07-04-2026 17:15:13 | POST | cafeteria-api/pedidos
07-04-2026 17:15:13 | GET | cafeteria-api/pedidos
07-04-2026 17:15:16 | POST | cafeteria-api/pedidos
07-04-2026 17:15:16 | GET | cafeteria-api/pedidos
07-04-2026 17:15:20 | POST | cafeteria-api/pedidos
07-04-2026 17:15:20 | GET | cafeteria-api/pedidos
07-04-2026 17:15:24 | POST | cafeteria-api/pedidos
07-04-2026 17:15:24 | GET | cafeteria-api/pedidos
07-04-2026 17:15:28 | POST | cafeteria-api/pedidos
07-04-2026 17:15:28 | GET | cafeteria-api/pedidos
07-04-2026 17:16:02 | GET | cafeteria-api/pedidos
07-04-2026 18:36:50 | OPTIONS | cafeteria-api/pedidos/6
07-04-2026 18:36:50 | DELETE | cafeteria-api/pedidos/6
07-04-2026 18:36:50 | GET | cafeteria-api/pedidos
07-04-2026 18:36:55 | POST | cafeteria-api/pedidos
07-04-2026 18:36:55 | GET | cafeteria-api/pedidos
07-04-2026 18:37:02 | OPTIONS | cafeteria-api/pedidos/11
07-04-2026 18:37:02 | DELETE | cafeteria-api/pedidos/11
07-04-2026 18:37:02 | GET | cafeteria-api/pedidos
07-04-2026 18:37:18 | POST | cafeteria-api/pedidos
07-04-2026 18:37:18 | GET | cafeteria-api/pedidos
07-04-2026 18:46:11 | GET | cafeteria-api/categorias
07-04-2026 18:46:12 | GET | cafeteria-api/produtos
07-04-2026 18:49:25 | GET | cafeteria-api/produtos
07-04-2026 18:49:34 | GET | cafeteria-api/pedidos
07-04-2026 18:49:40 | GET | cafeteria-api/pedidos
07-04-2026 18:51:39 | GET | cafeteria-api/pedidos
07-04-2026 18:51:56 | GET | cafeteria-api/pedidos
07-04-2026 18:52:29 | GET | cafeteria-api/pedidos
07-04-2026 18:54:43 | GET | cafeteria-api/pedidos
07-04-2026 18:55:14 | GET | cafeteria-api/pedidos
07-04-2026 18:55:24 | GET | cafeteria-api/pedidos
07-04-2026 18:56:46 | GET | cafeteria-api/pedidos
07-04-2026 18:58:19 | POST | cafeteria-api/pedidos
07-04-2026 18:58:19 | GET | cafeteria-api/pedidos
07-04-2026 18:58:20 | POST | cafeteria-api/pedidos
07-04-2026 18:58:20 | GET | cafeteria-api/pedidos
07-04-2026 18:58:36 | GET | cafeteria-api/pedidos
